,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192901,60.6,18.78,94.25,40.68,32.25,36.11,8.63,86.73,161.29,10.21,48.55,106.52,60.15,244.17,147.67,59.84,58.53,37.36,133.48,201.74,711.49,19.58,127.8,48.81,96.61,5.22,95.02,17.61,52.43,20.49
192902,62.55,20.44,97.78,44.84,32.67,38.46,8.45,89.6,197.97,10.07,52.35,114.57,67.42,275.39,148.92,60.11,63.36,37.55,122.58,227.83,806.64,19.38,131.43,51.35,100.93,4.94,91.11,17.57,56.68,20.74
192903,61.25,19.61,92.71,45.31,32.19,35.75,8.07,89.08,197.58,10.29,50.4,124.31,68.05,286.75,148.66,60.64,68.5,37.88,121.82,222.83,797.33,21.51,132.22,54.39,99.12,4.78,88.58,17.55,57.11,19.24
192904,58.07,18.99,88.26,40.51,29.8,32.78,7.6,87.52,190.04,9.52,47.09,123.47,64.98,300.51,146.47,60.74,70.72,35.34,135.74,215.35,823.33,21.14,134.56,55.15,95.93,4.33,83.92,16.84,56.21,17.82
192905,60.88,21.45,86.09,40.73,30.25,32.9,7.85,88.71,196.96,9.76,48.81,124.72,67.67,303.71,144.51,60.32,66.48,34.29,136.84,232.08,851.22,21.89,140.32,59.33,97.07,4.44,86.63,18.56,56.49,15.9
192906,58.12,19.09,85.53,37.42,30.35,29.45,7.29,81.19,182,8.39,45.26,108.55,60.89,306.22,121.26,55.65,58.66,32.59,128.53,242.71,776.59,20.73,137.58,54.33,98.91,4.14,78.85,17.97,56.79,13.76
192907,63.34,22.7,82.29,45.83,55.05,40.72,8.58,85.62,210.12,11.96,43.28,115.16,64.48,332.83,125.54,72.51,69.37,27.78,130.92,352.91,864.12,30.58,151.84,50.14,108.22,11.59,81.39,21.58,81.08,14.47
192908,66.27,22.94,83.88,44.72,55.41,43.17,8.22,87.74,220.66,11.49,44.89,118.76,67.78,366.45,120.32,77.05,67.48,33.07,129.65,384.67,982.32,30.36,160.52,53.42,116.88,11.13,82.13,21.95,87.86,15.12
192909,68.89,25.19,90.45,47.35,56.11,44.65,8.27,89.94,246.18,11.5,46.16,132.22,74.75,415.49,121.98,78.57,73.16,34.8,144.23,417.99,1090.2,29.24,174.05,58.36,126.18,10.48,88.59,22.93,87.15,14.65
192910,67.59,24.55,83.09,46.29,54.91,47.53,7.89,83.3,228.99,11.04,44.49,120.01,70.26,366.84,110.79,71.06,69.21,34.03,142.36,426.04,1067.01,40.39,190.89,55.58,116.06,10.41,83.5,22.08,85.97,14.63
192911,57.55,17.98,84.97,38.22,48.04,31.89,7.14,68.18,172.28,8.66,36.81,100.97,54.42,255.83,79.41,55.46,60.1,31.55,127.56,297.67,902.81,34.84,154.04,47.09,106.38,7.87,63.22,17.73,61.17,9.85
192912,51.95,15.85,79.06,31.19,46.17,27.15,6.37,62.27,143.4,7.68,32.86,86.28,46.58,208.87,64.34,49.71,51.08,30.05,118.58,253.18,817.32,30.2,119.31,40.22,97.65,7.35,55.02,15.86,52.52,8.3
193001,51.57,16.1,80.64,28.09,45.93,27.23,6.56,62.54,152.38,7.1,32.16,85.37,47.87,234.06,66.59,50.91,49.18,28.33,119.34,272.48,817.28,29.65,123.96,39.97,97.01,7.26,51.39,16.21,54.52,7.58
193002,54.39,14.52,87.51,35.98,46.72,29.83,6.79,64.01,164.6,7.81,34.33,89.81,51.8,259.69,70.72,51.9,51.86,28.06,118.19,291.75,827.04,15.02,135.65,42.7,100.34,7.39,53.53,18.08,59.82,12.38
193003,54.27,14.68,91.74,42.01,49.82,27.12,6.72,71.64,167.8,8.25,34.5,89.53,54.14,280.02,74.03,55.16,51.17,29.33,111.55,315.58,885.44,23.86,144.81,46.26,102.08,7.05,50.43,18.05,63.19,12.12
193004,55.49,13.4,95.11,48.42,50.69,26.92,7.17,75.54,184.91,7.95,35.47,94.79,56.76,303.97,83.13,58.07,51.54,29.56,135.29,345.95,954.99,26.04,150.99,49.01,106.43,6.7,48.93,18.81,68.48,12.88
193005,57.1,11.76,92.34,50.71,50.99,26.29,7.07,74.54,174.86,7.13,33.5,81.68,60.24,313.01,75.81,54.05,44.29,26.86,144.93,356.98,911.8,25.86,148.31,46.53,98.66,6.97,49.94,19.25,65.67,12.46
193006,58.55,11.71,93.64,53.11,50.42,24.29,6.74,81.58,170.21,6.72,34.08,81.49,56.61,297.68,78.84,50.88,46.68,26.32,138.72,351.07,915.48,22.04,143.86,46.48,99.04,6.32,49.87,18.86,61.79,11.38
193007,57.77,10.07,93.31,50.64,45.02,51.7,16.88,61.53,116.78,6.33,31.44,73.19,42.92,211.75,54.98,40.74,42.56,23.35,120.23,321.25,916.69,21.21,80.13,39.61,85.98,7.77,41.04,15.61,42.52,11.88
193008,59.43,10.07,95.97,51.83,46.46,54.39,17.42,65.5,122.96,6.63,33.82,75.34,44.14,220.2,61.34,42.5,43.94,22.79,126.94,333.49,928.36,21.61,83.65,42.4,88.4,7.63,42.08,16.02,44.4,12.89
193009,60.28,11,99.34,53.75,45.32,54.69,16.88,69.96,127.84,6.53,32.8,73.16,44.37,223.8,59.23,42.64,37.66,23.34,124.48,336.3,943.67,22.85,86.74,41.71,88.27,7.04,44.13,16.27,44.72,12.67
193010,53.84,9.65,90.06,43.41,43.49,48.81,16.12,63.53,109.35,5.65,27.36,65.36,36.84,177.59,49.33,34.85,34.15,21.92,106.06,295.61,884.75,21.26,76.56,36.26,80.42,6.33,39.25,13.85,36.47,10.37
193011,50.98,9.35,85.68,39.56,40.08,46.22,15.27,60.71,95.71,5.39,23.36,59.18,32.86,144.5,44.55,30.58,30.4,19.19,97.1,270.63,848.31,21.32,66.58,34.67,74.62,5.93,35.77,12.4,30.85,8.85
193012,51.37,9.68,84.33,37.02,38.76,45.32,15.47,58.16,95.33,5.16,22.65,58.34,32.39,139.28,46.45,31.68,31.77,17.34,93.24,245.85,820.53,19.9,64.57,34.75,70.27,6.09,36.64,12.05,28.21,8.89
193101,48.52,8.56,81.14,30.74,36.48,42.52,14.1,53.87,90.46,4.81,19.43,53.43,29.13,121.2,45.61,26.78,28.83,15.76,81.31,236.07,779.31,20.03,59.95,32.67,64.97,5.81,31.43,10.94,24.43,7.72
